row_number,customer_name,customer_id,customer_area,customer_location,demand_month,po_number,ordered_sku_code,ordered_sku_name,ordered_sku_type,etd,ordered_treat_status,order_notes,order_size,order_unit_before,translation_unit,size_convertion,order_unit_after,qty_order_lb,qty_order_kg,demand_additional_notes,raw_material_size,supply_unit,total_rm_kg,supply_notes
2,USA,,USA,USA,October,,,,PDTO - Raw,,Untreated,Certification: BAP 4 Stars / Full,26 - 30,(PCs/Lb),PDTO - Raw (PCs/Lb),UNDEFINED,,38600.0,17509.0,, 32 - 36 ,(PCs/Kg),31834.0,
3,Rastelli,,USA,USA,October,113297,,,P&D - Cooked,2023-10-02,Untreated,Certification: BAP 4 Stars / Full,41 - 50,(PCs/Lb),P&D - Cooked (PCs/Lb),UNDEFINED,,38600.0,17509.0," - 80/6 oz
- Plain bag + stiker as per Rastelli design
- Stiker inkjet with print lot code & use by date ", 40 - 48 ,(PCs/Kg),39612.0, PT Bumi Menara Internusa Lampung 
4,USA,,USA,USA,November,,,,P&D - Raw,,Treated,Certification: BAP 2 Stars,26 - 30,(PCs/Lb),P&D - Raw (PCs/Lb),UNDEFINED,,38600.0,17509.0,, 30 - 34 ,(PCs/Kg),33670.0,
5,USA,,USA,USA,November,,,,PDTO - Raw,,Untreated,Certification: BAP 4 Stars / Full,26 - 30,(PCs/Lb),PDTO - Raw (PCs/Lb),UNDEFINED,,38600.0,17509.0,, 32 - 36 ,(PCs/Kg),31834.0,
6,USA,,USA,USA,November,,,,PDTO - Raw,,Untreated,Certification: BAP 4 Stars / Full,36 - 40,(PCs/Lb),PDTO - Raw (PCs/Lb),UNDEFINED,,38600.0,17509.0,, 44 - 49 ,(PCs/Kg),31834.0,
7,USA,,USA,USA,December,,,,P&D - Raw,,Untreated,Certification: BAP 2 Star,16 - 20,(PCs/Lb),P&D - Raw (PCs/Lb),UNDEFINED,,38600.0,17509.0,, 18 - 23 ,(PCs/Kg),33670.0,
8,USA,,USA,USA,December,,,,P&D - Cooked,,Untreated,Certification: BAP 4 Stars / Full,21 - 25,(PCs/Lb),P&D - Cooked (PCs/Lb),UNDEFINED,,38600.0,17509.0,, 21 - 25  ,(PCs/Kg),39612.0,
9,USA,,USA,USA,December,,,,P&D - Raw,,Untreated,Certification: BAP 2 Star,31 - 35,(PCs/Lb),P&D - Raw (PCs/Lb),UNDEFINED,,38600.0,17509.0,, 35 - 40 ,(PCs/Kg),33670.0,
10,"Qingdao Yutai Import and Export Co., Ltd.",,Asia,China,September,QDYT - 2301,UDV-2-HOSO-3-C-C2-RB1800gr-31-40-10800gr-EXP,Udang Vannamei Frozen HOSO Chemfree Glaze Compensated 10-12 RB 1800gr 31-40 10800gr EXP,HOSO - Raw,2023-09-29,Chemical Free,Uncertified demand,31 - 40,(PCs/Kg),HOSO - Raw (PCs/Kg),31 - 40,,,3024.0,, 34 - 35 ,(PCs/Kg),3086.0, PT Piala Laut Indonesia 
11,"Qingdao Yutai Import and Export Co., Ltd.",,Asia,China,September,QDYT - 2301,UDV-2-HOSO-3-C-C2-RB1800gr-41-50-10800gr-EXP,Udang Vannamei Frozen HOSO Chemfree Glaze Compensated 10-12 RB 1800gr 41-50 10800gr EXP,HOSO - Raw,2023-09-29,Chemical Free,Uncertified demand,41 - 50,(PCs/Kg),HOSO - Raw (PCs/Kg),41 - 50,,,712.8,, 44 - 45 ,(PCs/Kg),727.0, PT Piala Laut Indonesia 
12,"Qingdao Yutai Import and Export Co., Ltd.",,Asia,China,September,QDYT - 2301,UDV-2-HOSO-3-C-C2-RB1800gr-51-60-10800gr-EXP,Udang Vannamei Frozen HOSO Chemfree Glaze Compensated 10-12 RB 1800gr 51-60 10800gr EXP,HOSO - Raw,2023-09-29,Chemical Free,Uncertified demand,51 - 60,(PCs/Kg),HOSO - Raw (PCs/Kg),51 - 60,,,712.8,, 54 - 55 ,(PCs/Kg),727.0, PT Piala Laut Indonesia 
13,"Qingdao Yutai Import and Export Co., Ltd.",,Asia,China,September,QDYT - 2301,UDV-2-RPD-2-S_12-U-RB500gr-31-40-10kg-EXP,Udang Vannamei Frozen RPD STPP 12 hrs Glaze Uncompensated 10-15 RB 500gr 31-40 10kg EXP,P&D - Raw,2023-09-29,STPP 12 hrs,Uncertified demand,31 - 40,(PCs/Lb),P&D - Raw (PCs/Lb),UNDEFINED,,,1350.0,, 40 - 41 ,(PCs/Kg),2596.0, PT Piala Laut Indonesia 
14,"Qingdao Yutai Import and Export Co., Ltd.",,Asia,China,September,QDYT - 2301,UDV-2-RPD-2-S_12-U-RB500gr-41-50-10kg-EXP,Udang Vannamei Frozen RPD STPP 12 hrs Glaze Uncompensated 10-15 RB 500gr 41-50 10kg EXP,P&D - Raw,2023-09-29,STPP 12 hrs,Uncertified demand,41 - 50,(PCs/Lb),P&D - Raw (PCs/Lb),UNDEFINED,,,1350.0,, 51 - 52 ,(PCs/Kg),2596.0, PT Piala Laut Indonesia 
15,"Qingdao Yutai Import and Export Co., Ltd.",,Asia,China,September,QDYT - 2301,UDV-2-RPD-2-S_12-U-RB500gr-51-60-10kg-EXP,Udang Vannamei Frozen RPD STPP 12 hrs Glaze Uncompensated 10-15 RB 500gr 51-60 10kg EXP,P&D - Raw,2023-09-29,STPP 12 hrs,Uncertified demand,51 - 60,(PCs/Lb),P&D - Raw (PCs/Lb),UNDEFINED,,,10850.0,, 63 - 64 ,(PCs/Kg),20865.0, PT Piala Laut Indonesia 
16,NTUC,,Asia,Singapore,October,,,"12 packet x 700g / 8.4kg net weight per carton
Carton: 12 packet
IQF
MC: plain white
Inner: 5 colours",PDTO - Raw,,,Certification: BAP 2 Star,31 - 35,(PCs/Lb),PDTO - Raw (PCs/Lb),UNDEFINED,,,5600.0,, 38 - 42 ,(PCs/Kg),10182.0,
17,NTUC,,Asia,Singapore,October,,,"20 packet x 400g / 8kg net weight per carton
Carton: 20 packet
IQF
MC: plain white
Inner: 5 colours",P&D - Raw,,,Certification: BAP 2 Star,31 - 40,(PCs/Lb),P&D - Raw (PCs/Lb),UNDEFINED,,,12000.0,, 35 - 46 ,(PCs/Kg),23077.0,
18,NTUC,,Asia,Singapore,October,,,"12 packet x 700g / 8.4kg net weight per carton
Carton: 12 packet
IQF
MC: plain white
Inner: 5 colours",PDTO - Raw,,,Certification: BAP 2 Star,68 - 88,(PCs/Kg),PDTO - Raw (PCs/Kg),68 - 88,,,5600.0,,37 - 46,(PCs/Kg),10182.0,
19,NTUC,,Asia,Singapore,October,,,"20 packet x 400g / 8kg net weight per carton
Carton: 20 packet
IQF
MC: plain white
Inner: 5 colours",PDTO - Cooked,,,Certification: BAP 2 Star,112 - 132,(PCs/Kg),PDTO - Cooked (PCs/Kg),112 - 132,,,4000.0,,60 - 71,(PCs/Kg),8556.0,
20,NTUC,,Asia,Singapore,October,,,"20 packet x 400g / 8kg net weight per carton
Carton: 20 packet
IQF
MC: plain white
Inner: 5 colours",P&D - Cooked,,,Certification: BAP 2 Star,134 - 154,(PCs/Kg),P&D - Cooked (PCs/Kg),134 - 154,,,4000.0,,70 - 80,(PCs/Kg),9050.0,
21,Edaran Jutamas Sdn Bhd,,Asia,Malaysia,November,,,,PDTO - Raw,,,,31 - 40,(PCs/Lb),PDTO - Raw (PCs/Lb),UNDEFINED,,,2700.0,, 38 - 49 ,(PCs/Kg),4909.0,
22,Edaran Jutamas Sdn Bhd,,Asia,Malaysia,November,,,,PDTO - Raw,,,,41 - 50,(PCs/Lb),PDTO - Raw (PCs/Lb),UNDEFINED,,,2700.0,, 50 - 61 ,(PCs/Kg),4909.0,
23,Edaran Jutamas Sdn Bhd,,Asia,Malaysia,November,,,,PDTO - Raw,,,,51 - 60,(PCs/Lb),PDTO - Raw (PCs/Lb),UNDEFINED,,,3600.0,, 62 - 73 ,(PCs/Kg),6545.0,
24,Edaran Jutamas Sdn Bhd,,Asia,Malaysia,November,,,,P&D - Raw,,,,31 - 40,(PCs/Lb),P&D - Raw (PCs/Lb),UNDEFINED,,,2700.0,, 35 - 46 ,(PCs/Kg),5192.0,
25,Edaran Jutamas Sdn Bhd,,Asia,Malaysia,November,,,,P&D - Raw,,,,41 - 50,(PCs/Lb),P&D - Raw (PCs/Lb),UNDEFINED,,,2700.0,, 47 - 57 ,(PCs/Kg),5192.0,
26,Edaran Jutamas Sdn Bhd,,Asia,Malaysia,November,,,,P&D - Raw,,,,51 - 60,(PCs/Lb),P&D - Raw (PCs/Lb),UNDEFINED,,,3600.0,, 58 - 69 ,(PCs/Kg),6923.0,
