row_number_demand,po_number,priority,row_number_supply_combination,is_fulfilled_demand,percent_fulfilled_demand,total_stock_supply_kg,count_farmer,count_processing,count_estimate_harvest_date,total_estimate_duration
2,,1.0,680,no,15.71,5000.0,1,1.0,1.0,15.0
3,113297,1.0,"221, 836",no,85.83,34000.0,2,1.0,2.0,26.0
3,113297,2.0,836,no,45.44,18000.0,1,1.0,1.0,12.0
3,113297,3.0,221,no,40.39,16000.0,1,1.0,1.0,14.0
4,,1.0,680,no,14.85,5000.0,1,1.0,1.0,15.0
5,,1.0,680,no,15.71,5000.0,1,1.0,1.0,15.0
7,,1.0,222,yes,288.09,97000.0,1,1.0,1.0,14.0
7,,2.0,"222, 506",yes,308.88,104000.0,2,1.0,2.0,21.0
7,,3.0,"222, 376",yes,332.64,112000.0,2,1.0,2.0,29.0
7,,4.0,"222, 376, 506",yes,353.43,119000.0,3,1.0,2.0,36.0
7,,5.0,506,no,20.79,7000.0,1,1.0,1.0,7.0
7,,6.0,376,no,44.55,15000.0,1,1.0,1.0,15.0
7,,7.0,"376, 506",no,65.34,22000.0,2,1.0,1.0,22.0
8,,1.0,222,yes,244.88,97000.0,1,1.0,1.0,14.0
8,,2.0,"222, 506",yes,262.55,104000.0,2,1.0,2.0,21.0
8,,3.0,"222, 376",yes,282.74,112000.0,2,1.0,2.0,29.0
8,,4.0,"222, 376, 506",yes,300.41,119000.0,3,1.0,2.0,36.0
8,,5.0,506,no,17.67,7000.0,1,1.0,1.0,7.0
8,,6.0,376,no,37.87,15000.0,1,1.0,1.0,15.0
8,,7.0,"376, 506",no,55.54,22000.0,2,1.0,1.0,22.0
9,,1.0,"649, 659",yes,100.98,34000.0,2,1.0,2.0,35.0
9,,2.0,659,no,47.52,16000.0,1,1.0,1.0,16.0
9,,3.0,649,no,53.46,18000.0,1,1.0,1.0,19.0
13,QDYT - 2301,1.0,375,no,77.04,2000.0,1,1.0,1.0,15.0
16,,1.0,659,yes,157.14,16000.0,1,1.0,1.0,16.0
16,,2.0,649,yes,176.78,18000.0,1,1.0,1.0,19.0
16,,3.0,"649, 659",yes,333.92,34000.0,2,1.0,2.0,35.0
17,,1.0,"649, 659",yes,147.33,34000.0,2,1.0,2.0,35.0
17,,2.0,659,no,69.33,16000.0,1,1.0,1.0,16.0
17,,3.0,649,no,78.0,18000.0,1,1.0,1.0,19.0
18,,1.0,659,yes,157.14,16000.0,1,1.0,1.0,16.0
18,,2.0,649,yes,176.78,18000.0,1,1.0,1.0,19.0
18,,3.0,"649, 659",yes,333.92,34000.0,2,1.0,2.0,35.0
19,,1.0,443,yes,175.32,15000.0,1,1.0,1.0,4.0
19,,2.0,"348, 353",yes,116.88,10000.0,1,1.0,1.0,16.0
19,,3.0,"358, 443",yes,233.75,20000.0,1,1.0,1.0,25.0
19,,4.0,"348, 353, 443",yes,292.19,25000.0,1,2.0,1.0,20.0
19,,5.0,"353, 443",yes,268.82,23000.0,1,2.0,1.0,20.0
19,,6.0,"348, 443",yes,198.69,17000.0,1,2.0,1.0,20.0
19,,7.0,"348, 353, 358, 443",yes,350.63,30000.0,1,2.0,1.0,41.0
19,,8.0,"353, 358, 443",yes,327.26,28000.0,1,2.0,1.0,41.0
19,,9.0,"348, 358, 443",yes,257.13,22000.0,1,2.0,1.0,41.0
19,,10.0,"348, 353, 358",yes,175.32,15000.0,1,2.0,1.0,41.0
19,,11.0,"353, 358",yes,151.94,13000.0,1,2.0,1.0,41.0
19,,12.0,"348, 353, 861",yes,210.38,18000.0,2,1.0,2.0,28.0
19,,13.0,"353, 861",yes,187.0,16000.0,2,1.0,2.0,28.0
19,,14.0,"348, 861",yes,116.88,10000.0,2,1.0,2.0,28.0
19,,15.0,"443, 861",yes,268.82,23000.0,2,2.0,2.0,16.0
19,,16.0,"348, 353, 443, 861",yes,385.69,33000.0,2,2.0,2.0,32.0
19,,17.0,"353, 443, 861",yes,362.32,31000.0,2,2.0,2.0,32.0
19,,18.0,"348, 443, 861",yes,292.19,25000.0,2,2.0,2.0,32.0
19,,19.0,"358, 443, 861",yes,327.26,28000.0,2,2.0,2.0,37.0
