row_number_demand,po_number,harvest_plan_id,leads_id,farmer_name,pond_province_name,pond_city_name,estimated_harvest_date,estimated_harvest_kg,estimated_size,doc_on_going,processing_name,distance_pond_to_processing_km,estimated_delivery_time,certification_type
101,,d43b6fe381,512bxd7czf7g,Tuwuh (PT Esaputlii Barru),SULAWESI SELATAN,KABUPATEN BARRU,2023-10-01,15000,20,130,PT Pabrik Lamongan BMI,680.37,15.0,CBIB / Indogap
44,,d43b6fe358,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,8000,60,84,PT Pabrik Lamongan BMI,689.94,16.0,Tidak
53,,d43b6fe227,512rweb7jh28,PT Imani Matra Infiniti / Kho Roy Dewata Widjaja K,SULAWESI TENGAH,KABUPATEN BANGGAI,2023-10-02,97000,20,129,PT Pabrik Lamongan BMI,644.12,14.0,
95,,d43b6fe135,512ciwkzxzem,H. Ardi/ Muh Arisaldi Ramadhan,SULAWESI TENGAH,KABUPATEN PARIGI MOUTONG,2023-10-03,3000,50,98,PT Piala Laut Indonesia ,719.82,16.0,Tidak
128,,d43b6fe453,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,15000,60,84,PT Piala Laut Indonesia ,157.57,4.0,Tidak
119,,d43b6fe381,512bxd7czf7g,Tuwuh (PT Esaputlii Barru),SULAWESI SELATAN,KABUPATEN BARRU,2023-10-01,15000,20,130,PT Pabrik Lamongan BMI,680.37,15.0,CBIB / Indogap
8,,,512tfgn4zx67,CV. Gideon Maju Mapan,BALI,KABUPATEN BULELENG,2023-10-01,7000,20,45242,PT Pabrik Lamongan BMI,313.41,7.0,
19,,d43b6fe363,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,5000,60,84,PT Piala Laut Indonesia ,1118.07,25.0,Tidak
22,,d43b6fe363,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,5000,60,84,PT Piala Laut Indonesia ,1118.07,25.0,Tidak
23,,d43b6fe363,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,5000,60,84,PT Piala Laut Indonesia ,1118.07,25.0,Tidak
42,,d43b6fe358,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,8000,60,84,PT Pabrik Lamongan BMI,689.94,16.0,Tidak
112,,d43b6fe363,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,5000,60,84,PT Piala Laut Indonesia ,1118.07,25.0,Tidak
119,,,512tfgn4zx67,CV. Gideon Maju Mapan,BALI,KABUPATEN BULELENG,2023-10-01,7000,20,45242,PT Pabrik Lamongan BMI,313.41,7.0,
17,,manu0298,512a86nwhfqz,Pak Eko (Nefo - Maronge),NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-01,18000,40,101,PT Pabrik Lamongan BMI,825.0,19.0,CBIB / Indogap
18,,manu0298,512a86nwhfqz,Pak Eko (Nefo - Maronge),NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-01,18000,40,101,PT Pabrik Lamongan BMI,825.0,19.0,CBIB / Indogap
19,,d43b6fe453,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,15000,60,84,PT Piala Laut Indonesia ,157.57,4.0,Tidak
43,,d43b6fe353,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,2000,60,84,PT Pabrik Lamongan BMI,711.54,16.0,Tidak
45,,manu0298,512a86nwhfqz,Pak Eko (Nefo - Maronge),NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-01,18000,40,101,PT Pabrik Lamongan BMI,825.0,19.0,CBIB / Indogap
99,,d43b6fe135,512ciwkzxzem,H. Ardi/ Muh Arisaldi Ramadhan,SULAWESI TENGAH,KABUPATEN PARIGI MOUTONG,2023-10-03,3000,50,98,PT Piala Laut Indonesia ,719.82,16.0,Tidak
106,,manu0339,512frm55qjxh,Maruoto,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA BARAT,2023-10-01,5000,30,111,PT Pabrik Lamongan BMI,680.0,15.0,
111,,d43b6fe135,512ciwkzxzem,H. Ardi/ Muh Arisaldi Ramadhan,SULAWESI TENGAH,KABUPATEN PARIGI MOUTONG,2023-10-03,3000,50,98,PT Piala Laut Indonesia ,719.82,16.0,Tidak
135,,d43b6fe227,512rweb7jh28,PT Imani Matra Infiniti / Kho Roy Dewata Widjaja K,SULAWESI TENGAH,KABUPATEN BANGGAI,2023-10-02,97000,20,129,PT Pabrik Lamongan BMI,644.12,14.0,
17,,manu0308,512nd6ycctxh,Nefo Rhee / PT SMM,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-02,16000,40,101,PT Pabrik Lamongan BMI,712.0,16.0,
7,,,512tfgn4zx67,CV. Gideon Maju Mapan,BALI,KABUPATEN BULELENG,2023-10-01,7000,20,45242,PT Pabrik Lamongan BMI,313.41,7.0,
96,,d43b6fe363,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,5000,60,84,PT Piala Laut Indonesia ,1118.07,25.0,Tidak
135,,,512tfgn4zx67,CV. Gideon Maju Mapan,BALI,KABUPATEN BULELENG,2023-10-01,7000,20,45242,PT Pabrik Lamongan BMI,313.41,7.0,
43,,d43b6fe453,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,15000,60,84,PT Piala Laut Indonesia ,157.57,4.0,Tidak
44,,d43b6fe453,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,15000,60,84,PT Piala Laut Indonesia ,157.57,4.0,Tidak
50,,manu0339,512frm55qjxh,Maruoto,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA BARAT,2023-10-01,5000,30,111,PT Pabrik Lamongan BMI,680.0,15.0,
87,,d43b6fe135,512ciwkzxzem,H. Ardi/ Muh Arisaldi Ramadhan,SULAWESI TENGAH,KABUPATEN PARIGI MOUTONG,2023-10-03,3000,50,98,PT Piala Laut Indonesia ,719.82,16.0,Tidak
93,,manu0339,512frm55qjxh,Maruoto,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA BARAT,2023-10-01,5000,30,111,PT Pabrik Lamongan BMI,680.0,15.0,
101,,d43b6fe227,512rweb7jh28,PT Imani Matra Infiniti / Kho Roy Dewata Widjaja K,SULAWESI TENGAH,KABUPATEN BANGGAI,2023-10-02,97000,20,129,PT Pabrik Lamongan BMI,644.12,14.0,
119,,d43b6fe227,512rweb7jh28,PT Imani Matra Infiniti / Kho Roy Dewata Widjaja K,SULAWESI TENGAH,KABUPATEN BANGGAI,2023-10-02,97000,20,129,PT Pabrik Lamongan BMI,644.12,14.0,
122,,manu0339,512frm55qjxh,Maruoto,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA BARAT,2023-10-01,5000,30,111,PT Pabrik Lamongan BMI,680.0,15.0,
16,,manu0308,512nd6ycctxh,Nefo Rhee / PT SMM,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-02,16000,40,101,PT Pabrik Lamongan BMI,712.0,16.0,
135,,d43b6fe381,512bxd7czf7g,Tuwuh (PT Esaputlii Barru),SULAWESI SELATAN,KABUPATEN BARRU,2023-10-01,15000,20,130,PT Pabrik Lamongan BMI,680.37,15.0,CBIB / Indogap
36,,d43b6fe358,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,8000,60,84,PT Pabrik Lamongan BMI,689.94,16.0,Tidak
136,,,512tfgn4zx67,CV. Gideon Maju Mapan,BALI,KABUPATEN BULELENG,2023-10-01,7000,20,45242,PT Pabrik Lamongan BMI,313.41,7.0,
24,,manu0298,512a86nwhfqz,Pak Eko (Nefo - Maronge),NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-01,18000,40,101,PT Pabrik Lamongan BMI,825.0,19.0,CBIB / Indogap
41,,d43b6fe135,512ciwkzxzem,H. Ardi/ Muh Arisaldi Ramadhan,SULAWESI TENGAH,KABUPATEN PARIGI MOUTONG,2023-10-03,3000,50,98,PT Piala Laut Indonesia ,719.82,16.0,Tidak
51,,manu0339,512frm55qjxh,Maruoto,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA BARAT,2023-10-01,5000,30,111,PT Pabrik Lamongan BMI,680.0,15.0,
55,,manu0339,512frm55qjxh,Maruoto,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA BARAT,2023-10-01,5000,30,111,PT Pabrik Lamongan BMI,680.0,15.0,
86,,d43b6fe135,512ciwkzxzem,H. Ardi/ Muh Arisaldi Ramadhan,SULAWESI TENGAH,KABUPATEN PARIGI MOUTONG,2023-10-03,3000,50,98,PT Piala Laut Indonesia ,719.82,16.0,Tidak
94,,manu0298,512a86nwhfqz,Pak Eko (Nefo - Maronge),NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-01,18000,40,101,PT Pabrik Lamongan BMI,825.0,19.0,CBIB / Indogap
96,,d43b6fe453,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,15000,60,84,PT Piala Laut Indonesia ,157.57,4.0,Tidak
112,,d43b6fe353,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,2000,60,84,PT Pabrik Lamongan BMI,711.54,16.0,Tidak
127,,d43b6fe135,512ciwkzxzem,H. Ardi/ Muh Arisaldi Ramadhan,SULAWESI TENGAH,KABUPATEN PARIGI MOUTONG,2023-10-03,3000,50,98,PT Piala Laut Indonesia ,719.82,16.0,Tidak
9,,manu0308,512nd6ycctxh,Nefo Rhee / PT SMM,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-02,16000,40,101,PT Pabrik Lamongan BMI,712.0,16.0,
18,,manu0308,512nd6ycctxh,Nefo Rhee / PT SMM,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-02,16000,40,101,PT Pabrik Lamongan BMI,712.0,16.0,
20,,d43b6fe83,512sfu7zz8cz,PT Graha Tambak Pinotu,SULAWESI TENGAH,KABUPATEN PARIGI MOUTONG,2023-10-01,9000,75,70,PT Pabrik Lamongan BMI,645.49,15.0,Tidak
59,,d43b6fe381,512bxd7czf7g,Tuwuh (PT Esaputlii Barru),SULAWESI SELATAN,KABUPATEN BARRU,2023-10-01,15000,20,130,PT Pabrik Lamongan BMI,680.37,15.0,CBIB / Indogap
103,,d43b6fe381,512bxd7czf7g,Tuwuh (PT Esaputlii Barru),SULAWESI SELATAN,KABUPATEN BARRU,2023-10-01,15000,20,130,PT Pabrik Lamongan BMI,680.37,15.0,CBIB / Indogap
104,,d43b6fe381,512bxd7czf7g,Tuwuh (PT Esaputlii Barru),SULAWESI SELATAN,KABUPATEN BARRU,2023-10-01,15000,20,130,PT Pabrik Lamongan BMI,680.37,15.0,CBIB / Indogap
13,QDYT - 2301,d43b6fe380,512bxd7czf7g,Tuwuh (PT Esaputlii Barru),SULAWESI SELATAN,KABUPATEN BARRU,2023-09-16,2000,40,130,PT Pabrik Lamongan BMI,680.37,15.0,CBIB / Indogap
47,,,512tfgn4zx67,CV. Gideon Maju Mapan,BALI,KABUPATEN BULELENG,2023-10-01,7000,20,45242,PT Pabrik Lamongan BMI,313.41,7.0,
60,,,512tfgn4zx67,CV. Gideon Maju Mapan,BALI,KABUPATEN BULELENG,2023-10-01,7000,20,45242,PT Pabrik Lamongan BMI,313.41,7.0,
104,,,512tfgn4zx67,CV. Gideon Maju Mapan,BALI,KABUPATEN BULELENG,2023-10-01,7000,20,45242,PT Pabrik Lamongan BMI,313.41,7.0,
9,,manu0298,512a86nwhfqz,Pak Eko (Nefo - Maronge),NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-01,18000,40,101,PT Pabrik Lamongan BMI,825.0,19.0,CBIB / Indogap
16,,manu0298,512a86nwhfqz,Pak Eko (Nefo - Maronge),NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-01,18000,40,101,PT Pabrik Lamongan BMI,825.0,19.0,CBIB / Indogap
