row_number_demand,po_number,demand_month,customer_name,customer_id,customer_area,customer_location,etd,etd_type,ordered_sku_code,ordered_sku_name,ordered_sku_type,raw_material_size,total_rm_kg,order_notes
2,,October,USA,,USA,USA,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 32 - 36 ,31834.0,Certification: BAP 4 Stars / Full
3,113297,October,Rastelli,,USA,USA,2023-10-02T00:00:00+07:00,filled,,,P&D - Cooked, 40 - 48 ,39612.0,Certification: BAP 4 Stars / Full
4,,November,USA,,USA,USA,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 30 - 34 ,33670.0,Certification: BAP 2 Stars
5,,November,USA,,USA,USA,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 32 - 36 ,31834.0,Certification: BAP 4 Stars / Full
6,,November,USA,,USA,USA,2023-10-16T14:39:08.703508+07:00,estimated,,,PDTO - Raw, 44 - 49 ,31834.0,Certification: BAP 4 Stars / Full
7,,December,USA,,USA,USA,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 18 - 23 ,33670.0,Certification: BAP 2 Star
8,,December,USA,,USA,USA,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Cooked, 21 - 25  ,39612.0,Certification: BAP 4 Stars / Full
9,,December,USA,,USA,USA,2023-10-16T14:39:08.703508+07:00,estimated,,,P&D - Raw, 35 - 40 ,33670.0,Certification: BAP 2 Star
10,QDYT - 2301,September,"Qingdao Yutai Import and Export Co., Ltd.",,Asia,China,2023-09-29T00:00:00+07:00,filled,UDV-2-HOSO-3-C-C2-RB1800gr-31-40-10800gr-EXP,Udang Vannamei Frozen HOSO Chemfree Glaze Compensated 10-12 RB 1800gr 31-40 10800gr EXP,HOSO - Raw, 34 - 35 ,3086.0,Uncertified demand
11,QDYT - 2301,September,"Qingdao Yutai Import and Export Co., Ltd.",,Asia,China,2023-09-29T00:00:00+07:00,filled,UDV-2-HOSO-3-C-C2-RB1800gr-41-50-10800gr-EXP,Udang Vannamei Frozen HOSO Chemfree Glaze Compensated 10-12 RB 1800gr 41-50 10800gr EXP,HOSO - Raw, 44 - 45 ,727.0,Uncertified demand
